correo,colegio,calendario,comuna,telefono
liceonuevafloresta@hotmail.com,liceo nueva floresta,A,comuna 12,3104700907
instecalima@yahoo.es,instituto calima,A,comuna 4,3104992078
institutolarivera@hotmail.com,instituto la rivera s.a.s,A,comuna 5,6024461130
santa_rosa04@hotmail.com,instituto tecnico comercial santa rosa,A,comuna 13,4451641
rector.jp2@arquidiocesanos.edu.co,colegio arquidiocesano juan pablo ii,A,comuna 20,6024850227
colsajarcobertura@gmail.com,colegio santa juana de arco,A,comuna 6,4861253
col.compartir@arquidiocesanos.edu.co,colegio compartir,A,comuna 21,3165288959
liceoscj@gmail.com,liceo sagrado corazon de jesus,A,comuna 21,3164754721
colomboirlandes@hotmail.com,liceo colombo irlandes,A,comuna 21,4013789
colegiosancayetanocali@gmail.com,colegio san cayetano,A,comuna 21,6639202
liceocalimiodesepaz@gmail.com,liceo calimio desepaz,A,comuna 21,6025214688
fepsol@hotmail.com,colegio puerta del sol,A,comuna 14,3042920744
rectoriapuertadelsol@gmail.com,colegio puerta del sol,A,comuna 14,3042920744
itecnorte@hotmail.com,instituto tecnico comercial del norte,A,comuna 6,3154524302
sanjoaquin@arquidiocesanos.edu.co,colegio parroquial san joaquin,A,comuna 16,3136359047
licolamilagrosa@yahoo.es,liceo comercial la milagrosa,A,comuna 13,3206725937
funcolsihlopez@arquidiocesanos.edu.co,colegio santa isabel de hungria sede alfonso lopez,A,comuna 7,3176652858
rectoriaremansosdecomfandi@gmail.com,instituto remansos de comfandi,A,comuna 21,3042920744
cjuvenildelsur@gmail.com,colegio tecnico juvenil del sur,A,comuna 18,3206836852
colvidanuevawqo@gmail.com,colegio vida nueva,A,comuna 13,3154988306
colpana70@hotmail.com,colegio panamericano,A,comuna 13,3232225270
ces-1982@hotmail.com,centransversalo educativo sebastian de belalcazar,A,comuna 4,6024462854
col.mab@hotmail.com,colegio miguel angel buonarrotti,A,comuna 4,3205304998
funsacecolombia2023@gmail.com,centransversalo docente santiago de cali no 3,A,comuna 5,3027985230
colegioelhogar@hotmail.com,colegio el hogar,A,comuna 18,3006079062
itscyc.sas@gmail.com,instituto tcnico en sistemas caro y cuervo,A,comuna 15,3117218795
colegiocristianoamorypaz@hotmail.com,colegio carreraistiano amor y paz,A,comuna 15,3152007605
maxseidel@hotmail.com,instituto max seidel 1,A,comuna 14,3225188025
sanmiguel.direccion.general@gmail.com,liceo san miguel,A,comuna 14,3166424749
liceosantacatalina2009@hotmail.com,liceo santa catalina laboure,A,comuna 11,3187304918
payan_65@hotmail.com,colegio mixto carlos payan,A,comuna 13,3183234563
secretariatercermilenio@gmail.com,liceo mayor mixto tercer milenio,A,comuna 16,3182765308
institutoeducativoser@gmail.com,instituto educativo ser,A,comuna 14,3154004851
administracion@colegiotecnicoinprovacc.edu.co,colegio tcnico inprovacc,A,comuna 5,6024469838
secretaria.academica@clan.edu.co,colegio los angeles del norte de occidente,A,comuna 2,3106454541
info@acamilcayzedo.edu.co,academia militar joaqun de cayzedo y cuero,A,comuna 22,5553166
lorza78@hotmail.com,instituto elizabeth lorza,A,comuna 20,3176429919
institutoserdiamante@hotmail.com,instituto ser internacional diamante,A,comuna 13,3013718348
liceo_manuela@hotmail.com,liceo manuela beltransversalan 2,A,comuna 21,3427420
colegiogracecali@gmail.com,colegio grace,A,comuna 20,3173581865
yizfred@hotmail.com,colegio yizfred,A,comuna 16,3176443882
institucionnacionalebenezer@hotmail.com,instituto nacional ebenezer,A,comuna 15,3152777274
institutolopez1985@gmail.com,instituto lopez,A,comuna 13,4279383
institutolopez@hotmail.com,instituto lopez,A,comuna 13,4279383
colegioanderssonecheverry@hotmail.com,liceo andersson echeverry,A,comuna 6,3232861276
echeverrygalo@gmail.com,liceo andersson echeverry,A,comuna 6,3232861276
etnoeducativo.edu@gmail.com,centransversalo etnoeducativo antonio maceo pizamos 1,A,comuna 21,3128728397
colrepublicadelsalvador@hotmail.com,colegio repblica del salvador,A,comuna 16,3455830
serinternacionalnorte@hotmail.com,instituto ser internacional norte,A,comuna 2,3226581386
instvozdepazpaz@gmail.com,instituto educativo voz de paz,A,comuna 12,3153573275
colfami2@hotmail.com,colegio la sagrada familia,A,comuna 4,4463066
colfeyesperanza@hotmail.com,colegio fe y esperanza mision panamericana,A,comuna 9,3125248353
escueladelatrinidad@hotmail.com,escuela de la transversalinidad,A,comuna 19,3185483165
fundafrayluis@gmail.com,colegio fray luis ferrer,A,comuna 6,4335894
colegiolapiedad22@gmail.com,colegio la piedad,A,comuna 15,3148636454
marcla77@hotmail.com,instituto colombiano de bachillerato,A,comuna 18,3226828635
liceoladivina@gmail.com,liceo la divina providencia,A,comuna 18,3218720490
avalmo55@hotmail.com,colegio tecnico comercial dana maria paz amor y justicia,A,comuna 14,3148615907
coljosepardolopez@gmail.com,colegio micarreraoempresarial jos pardo lpez,A,comuna 1,3011441547
centraldecomercio@hotmail.com,instituto centransversalal de comercio y bachillerato,A,comuna 18,3158211514
liceosuperiorsteven@hotmail.com,liceo superior steven,A,comuna 14,3163247115
colegiosantalucia1982@hotmail.com,colegio santa lucia,A,comuna 13,3174518626
alfonso.lopez@cea.edu.co,corporacion educativa adventista c.e.a,A,comuna 7,3183228852
coljohannesgutenberg@yahoo.es,colegio johannes gutenberg,A,comuna 14,6025222368
copemopi@hotmail.com,colegio mixto pedro morales pino,A,comuna 13,3042334256
funsantaines@gmail.com,liceo santa ines-andes,A,comuna 21,3186013196
institutoangelesdedios@hotmail.com,instituto los angeles de dios,A,comuna 14,3206862323
cdesarrollocomunitario2022@gmail.com,liceo mixto emperador de cali sede 1,A,comuna 14,3168323850
info@cea.edu.co,corporacion educativa adventista- c.e.a,A,comuna 19,5529457
liceocolombiajoven2020@gmail.com,liceo colombia joven,A,comuna 18,3184006769
cd.juanramonjimenez@outlook.com,centransversalo docente juan ramon jimenez,A,comuna 14,3797661
academicoelpoblado@gmail.com,colegio academico el poblado,A,comuna 13,3105045896
fundalps@gmail.com,liceo pedaggico suroriental,A,comuna 13,3103830697
insacalicol@gmail.com,instituto nuestransversala seora de la asuncion,A,comuna 7,3157840414
coltesoro@gmail.com,colegio el tesoro del saber,A,comuna 1,3174709171
ceterranova2011@hotmail.com,centransversalo educativo terranova,A,comuna 21,3186001844
fund.edu.ordenylibertad@gmail.com,liceo el futuro de los nios,A,comuna 14,4042087
mayordelnorte@yahoo.es,colegio mayor del norte,A,comuna 6,3214434093
colegenis@hotmail.com,genios del saber,A,comuna 14,3160694768
liceojcolombia@hotmail.com,liceo juvenil colombia,A,comuna 13,3173774216
liceo-comercial-santa-lucia@hotmail.com,liceo comercial santa lucia,A,comuna 15,3142131930
tecjuvenil@gmail.com,instituto tecnico juvenil del valle,A,comuna 21,3155967530
liceomelvinjones@hotmail.com,liceo melvin jones,A,comuna 21,3168697089
lmelvinjones94@gmail.com,liceo melvin jones,A,comuna 21,3168697089
rectoria@colegiodivinosalvadorcali.edu.co,colegio parroquial divino salvador,A,comuna 18,3245038
niampira4143@gmail.com,liceo comercial santiago niampira,A,comuna 15,3232345264
institutocomercialsantomas@gmail.com,instituto comercial santo toms,A,comuna 21,3183813192
colegiotecnicosansebastian2@gmail.com,colegio tcnico san sebastian n2,A,comuna 21,6023830216
liceocanaveral@hotmail.com,liceo caavenidaeral de occidente,A,comuna 20,6025528073
colegiolavictoria@hotmail.com,centransversalo docente la victoria,A,comuna 14,3225410792
colegiodivinae@gmail.com,colegio la divina enseanza,A,comuna 12,3242134542
coisac2010@gmail.com,colegio internado san carlos,A,comuna 8,3113010797
colegiomixtoluzyvida12@gmail.com,colegio mixto luz y vida,A,comuna 15,3105789137
cureydereyes@hotmail.com,instituto tecnologico rey de reyes ii,A,comuna 15,6024042087
institutoeducativoalfa@hotmail.com,instituto educativo alfa,A,comuna 15,3218039950
arangoycuero1@hotmail.com,asociacion educativa colegio arango y cuero,A,comuna 14,3225197456
mixto.82920@yahoo.es,liceo mixto las lajas,A,comuna 14,6023068946
limecvirtual@gmail.com,liceo mixto emperador de cali 2,A,comuna 14,3183835230
colherca@hotmail.com,colegio hernando caicedo,A,comuna 16,3047770
liceocomercialsanjuanapostol@gmail.com,liceo comercial san juan apostol,A,comuna 14,316 5382651
ljr1330@hotmail.com,liceo juvenil el rodeo,A,comuna 12,3196618386
gosar1012@hotmail.com,liceo moderno ciudad de cali,A,comuna 7,6026626073
brillantejuventud@yahoo.com,liceo brillante juventud,A,comuna 4,317 6694228
colegioliceosanjosecali@gmail.com,liceo san jos,A,comuna 6,3117028719
colegioempresarialm@gmail.com,colegio empresarial moderno,A,comuna 1,3104282835
hawer@fundacionable.org,colegio la fontaine lido,A,comuna 19,3184111960
institutotecnologiolossabiosde@gmail.com,instituto tecnologico los sabios del futuro,A,comuna 14,6023926772
inscacomercial@hotmail.com,instituto nuestransversala seora del carmen,A,comuna 6,6024035358
colegioprincipedepazcali@gmail.com,principe de paz,A,comuna 16,3148111081
institutotecnicofuturoprofesional@hotmail.com,instituto tcnico futuro profesional,A,comuna 16,3158455969
emperadordecali@hotmail.com,liceo mixto emperador de cali,A,comuna 14,3063701
colsajarco@hotmail.com,colegio santa juana de arco,A,comuna 7,3202659157
frayluisamigo@feyalegria.org.co,colegio fe y alegria fray luis amig,A,comuna 14,3108417813
funcolparroquialorquideas@arquidiocesanos.edu.co,colegio parroquial san francisco javenidaier,A,comuna 14,3103504096
colegio_coop_nsr@hotmail.com,colegio cooperativo nuestransversala seora de los remedios,A,comuna 11,3451490
colegio.cng@hotmail.com,colegio comunal nueva granada,A,comuna 10,3162561815
cecot2008@hotmail.com,centransversalo educativo comunitario omar torrijos,A,comuna 13,6024850093
granjaescuelapsab@gmail.com,granja escuela nueva pbro. sebastian aldom bonjoch - miravenidaalle,A,comuna 54,6025512262
ffudecafro@gmail.com,instituto politecnico comuna 21,A,comuna 21,3117717343
colegio-fer@hotmail.com,colegio francisco eladio ramirez,A,comuna 14,3225186874
andrestefani92@gmail.com,colegio francisco eladio ramirez,A,comuna 14,3225186874
itlatinoamericano2020@gmail.com,instituto tecnico latinoamericano,A,comuna 14,6023860211
colegiolaspalmas@hotmail.com,colegio las palmas,A,comuna 13,6025215490
amor_y_ciencia@yahoo.com,colegio amor y ciencia,A,comuna 13,6026633696
cdpsanmarcos@arquidiocesanos.edu.co,centransversalo docente parroquial san marcos,A,comuna 6,3164201212
itimep2020@gmail.com,instituto tcnico ustransversalial manuel elkin patarroyo,A,comuna 21,3045248390
fundacionemanuel.proyectos@gmail.com,instituto pedagogico emanuel,A,comuna 16,3002427866
liceorenacerc14@hotmail.com,liceo etno educativo comunitario renacer,A,comuna 14,3154346786
cotjuvalle@hotmail.com,colegio tecnico juvenil del valle,A,comuna 13,4374904
colrichardbach1988@gmail.com,colegio richard bach,A,comuna 13,3104380772
lisuvalle3@gmail.com,liceo superior del valle no.3,A,comuna 6,6023062592
sigloxxicalidad@gmail.com,instituto tecnico ustransversalial y comercial siglo xxi,A,comuna 21,3005525643
coldantealiahieri@hotmail.com,colegio dante alighieri,A,comuna 14,3152835741
bartolomecarlos@gmail.com,centransversalo docente bartolome mitransversale,A,comuna 14,4021876
fundapigmalion@hotmail.com,liceo pigmalion,A,comuna 14,3117538934
colegiosantacruz20@gmail.com,colegio santa carrerauz,A,comuna 14,3148636454
centrodocenteliceomarisol2@gmail.com,centransversalo docente liceo marisol,A,comuna 14,3118926115
santainesvallegrande@gmail.com,liceo santa ines vallegrande,A,comuna 21,3157671016
cei_luismadina@hotmail.com,centransversalo educativo ustransversalial luis madina,A,comuna 18,3120038
glineslopez@yahoo.es,instituto de bachillerato tecnologico daniel gillard,A,comuna 16,3195497019
liceomixtolamilagrosa@hotmail.com,liceo mixto la milagrosa,A,comuna 15,3164394506
lisuvallecolegios@gmail.com,liceo superior del valle,A,comuna 15,3108336046
reydereyes@hotmail.com,colegio orden y libertad,A,comuna 14,3148636454
