colegio,correo_principal,correos_alternos,telefono,direccion,sitio_web,confianza,notas
Colegio Bolivar,admisiones@colegiobolivar.edu.co,info@colegiobolivar.edu.co; cbmatriculas@colegiobolivar.edu.co,(602) 485 5050,Calle 5 # 122-21 Via Pance,colegiobolivar.edu.co,Media,Calendario B - colegio americano
Colegio Berchmans,organizacional@berchmans.edu.co,,(602) 321 1000,Carrera 120A # 16-86,berchmans.edu.co,Media,Admisiones tambien por WhatsApp 317 669 9082
Colegio Jefferson,admisiones@jefferson.edu.co,,(602) 658 2700 ext 111 / 312 870 0428,Antigua carretera a Yumbo Km 1 via Dapa,jefferson.edu.co,Alta,Contacto admisiones Jonathan Uribe
Colegio Colombo Britanico (CCB),admisiones@ccbcali.edu.co,,(602) 555 5385 / 315 217 9768,Av. La Maria (Cra 125) # 10-51 Pance,colombobritanico.edu.co,Media,Verificar dominio del correo (ccbcali.edu.co vs colombobritanico.edu.co)
Colegio Bennett,secretaria.admisiones@colegiobennett.edu.co,,300 567 6358,Cll 17A # 106-155 Av. Cascajal,colegiobennett.co,Media,
Liceo Benalcazar,info@liceobenalcazar.edu.co,admisionesliceo@liceobenalcazar.edu.co; jleroy@liceobenalcazar.edu.co,(602) 893 1402 / 311 893 0248,Carrera 2 Oeste # 10-83 Santa Teresita,liceobenalcazar.edu.co,Alta,Coordinadora de admisiones Juliana Leroy
Gimnasio Los Farallones Valle del Lili,mercadeo@farallones.edu.co,protecciondedatospersonales@farallones.edu.co,(602) 555 3110 / 316 529 2073,Km 2 via Cali-Jamundi (Cra 118 # 25-01),farallones.edu.co,Media,
Colegio Hispanoamericano,admisiones@colegiohispano.edu.co,,(602) 489 6888 / 310 468 2958,Av 3CN # 35N-55 Prados del Norte,colegiohispano.edu.co,Alta,Tiene sede campestre en via a Yumbo Km4
Colegio Aleman de Cali (DSCali),direccion@dscali.edu.co,,(602) 486 8000,Carrera 106A # 18-160 Ciudad Jardin,dscali.edu.co,Media,Correo de direccion; pedir el de administracion/planta fisica
Colegio Bilingue Lacordaire,admisiones@lacordaire.edu.co,rector@lacordaire.edu.co; notificacionlegalyjudicial@lacordaire.edu.co,(602) 380 0817 / (602) 332 5706,Calle 5 # 89-70,lacordaire.edu.co,Alta,
Colegio Nuestra Senora del Rosario,admisiones@colrosariocali.edu.co,mercadeo@colrosariocali.edu.co,320 675 4258 / 311 703 8149,Carrera 125 # 22-17 Av. La Maria Pance,colrosariocali.edu.co,Alta,Contacto mercadeo Jennifer Sanchez
New Cambridge School Cali,admisiones@cambridgecali.edu.co,,,Carrera 125 (Pance),cambridgecali.edu.co,Media,Pertenece a la red Redcol
Colegio Mayor Alferez Real,info@colegiomayoralferezreal.edu.co,,(602) 485 4910 / 320 200 2020,Santiago de Cali (sur),colegiomayoralferezreal.edu.co,Alta,
Colegio Ideas,admisiones@colegioideas.edu.co,,315 572 3756 / (602) 553 1275,Zona rural via Canaveralejo,colegioideas.edu.co,Media,
Gimnasio La Colina,comunicaciones@lacolina.edu.co,,(602) 486 2555 / 311 629 4346,Av. 9N # 56N-81,lacolina.edu.co,Alta,
Colegio Franciscano de Pio XII,info@pioxii.edu.co,mercadeo@pioxii.edu.co,(602) 555 2727 / 317 538 6970,Carrera 118 # 48-55 Villa Fatima,pioxii.edu.co,Alta,
Colegio Parroquial Bilingue Santa Isabel de Hungria,admisiones@sih.edu.co,,316 278 4605,Barrio Alfonso Lopez y otras sedes,cpsih.edu.co,Media,Verificar dominio (sih.edu.co vs cpsih.edu.co)
Colegio Santa Maria Stella Maris,marketing@colegio-stellamaris.edu.co,secretaria@colegio-stellamaris.edu.co,(602) 386 5780,Carrera 38B # 3-190,colegio-stellamaris.edu.co,Alta,
Colegio de la Sagrada Familia,admisiones@sagradafamilia.edu.co,,321 643 5588 / 315 574 5874,Carrera 118A # 22A-180,sagradafamilia.edu.co,Alta,Colegio femenino
Colegio Bilingue del Sagrado Corazon de Jesus,mercadeo@sagradocorazoncali.edu.co,sacademica@sagradocorazoncali.edu.co,305 734 7476 / 321 720 1610,Carrera 116 # 25-50 Km 2 via Jamundi,sagradocorazoncali.edu.co,Alta,
Colegio Juvenilia,admisiones@colegiojuvenilia.edu.co,,304 102 2999,Cali,colegiojuvenilia.edu.co,Media,
Colegio de la Santisima Trinidad,rectoria.colsantrin@gmail.com,admisiones.cali@cies.edu.co,312 783 4472 / 310 205 8085,Carrera 22 # 5A-21 Alameda,colsantrincali.wixsite.com/cali,Media,
Colegio Bilingue Diana Oese,,,(602) 325 9000,Via La Buitrera Km 3,coldianaoese.edu.co,Pendiente,Sin correo publicado en fuentes indexadas
Aspaen Liceo Tacuri,,,,Carrera 146 # 21-83 Pance,aspaen.edu.co/tacuri,Pendiente,Contacto via formulario de admisiones Aspaen
Jardin Tia Nora y Liceo Los Alpes,,,310 440 3147 (admisiones),Avenida 9 Norte # 66N-10,jardintianorayliceolosalpes.edu.co,Pendiente,Sin correo publicado
Colegio Ingles de los Andes,,,,Via Cali-Puerto Tejada Km 4,inglesdelosandes.edu.co,Pendiente,Sin correo publicado
Colegio Philadelphia Internacional,,,(602) 519 0206 al 09,Calle 2B # 126A-38,,Pendiente,Contacto admisiones Alexander Mosquera
Colegio Freinet,,,,La Buitrera Km 3,,Pendiente,Sin correo publicado
