original_danado,corregido,colegio
administransversalacion@colegioekklesia.edu.co,administracion@colegioekklesia.edu.co,colegio ekklesia
administransversalacion@colegiotecnicoinprovacc.edu.co,administracion@colegiotecnicoinprovacc.edu.co,colegio tcnico inprovacc
administransversalador@colegiogoretty.edu.co,administrador@colegiogoretty.edu.co,colegio tecnico comercial santa maria goretty
angelitoscarreraeativoscali@gmail.com,angelitoscreativoscali@gmail.com,jardin infantil angelitos carreraeativos cali
asistenteadministransversalativa@jardinhelenkeller.edu.co,asistenteadministrativa@jardinhelenkeller.edu.co,colegio helen keller - sede pance
avenidaalmo55@hotmail.com,avalmo55@hotmail.com,colegio cesar conto
avenidaalmo55@hotmail.com,avalmo55@hotmail.com,colegio cesar conto sede petecuy
avenidaalmo55@hotmail.com,avalmo55@hotmail.com,colegio tecnico comercial dana maria paz amor y justicia
avenidaalmo55@hotmail.com,avalmo55@hotmail.com,corporacion educativa antonio maceo
avenidaalmo55@hotmail.com,avalmo55@hotmail.com,liceo santa calleara
avenidaenturasdelsaber@hotmail.com,aventurasdelsaber@hotmail.com,centransversalo pedagogico avenidaenturas del saber
callearanllano@hotmail.com,claranllano@hotmail.com,escuela piloto harold h. eder
calleaudiapatransversaliciaramos1@hotmail.com,claudiapatriciaramos1@hotmail.com,centransversalo de aprendizaje y estimulacion temprana caet
calleub.leonescalisanfernado@gmail.com,club.leonescalisanfernado@gmail.com,instituto de terapia especial de los sentidos ites
carreraeciendo888@gmail.com,creciendo888@gmail.com,liceo infantil carreraeciendo
carreraistianosion@hotmail.com,cristianosion@hotmail.com,centransversalo educacional carreraistiano sion
celdavenidainci@celdavenidainci.edu.co,celdavinci@celdavinci.edu.co,centransversalo educativo leonardo da vinci
centecarreraectoria@gmail.com,centecrectoria@gmail.com,centransversalo de educacion en tecnologia centec - crdoba
centransversalaldecomercio@hotmail.com,centraldecomercio@hotmail.com,instituto centransversalal de comercio y bachillerato
centransversalalmadrid2008@hotmail.com,centralmadrid2008@hotmail.com,colegio centransversalal madrid
centransversalodecapacitacionsantaines@gmail.com,centrodecapacitacionsantaines@gmail.com,centransversalo de capacitacion santa ines
centransversalodocenteliceomarisol2@gmail.com,centrodocenteliceomarisol2@gmail.com,centransversalo docente liceo marisol
centransversaloeducativoalfayomega1998@gmail.com,centroeducativoalfayomega1998@gmail.com,centransversalo educativo alfa y omega
centransversaloeducativoinscat@gmail.com,centroeducativoinscat@gmail.com,centransversalo educativo inscat
centransversaloeducativomanoscarreraeativas@hotmail.com,centroeducativomanoscreativas@hotmail.com,centransversalo educativo y escuela maternal manos carreraeativas
centransversaloeducativosancarlos01@gmail.com,centroeducativosancarlos01@gmail.com,c.e. san carlos
centransversaloeducativosanjuandelacarrerauz@gmail.com,centroeducativosanjuandelacruz@gmail.com,centransversalo educativo san juan de la carrerauz
centransversaloeducativosemillitas@gmail.com,centroeducativosemillitas@gmail.com,centransversalo educativo semillitas
centransversaloludicoentransversalepekes@gmail.com,centroludicoentrepekes@gmail.com,jardin infantil taller carreraeativo senderos del arte
cevida.educacionporcicalleos@gmail.com,cevida.educacionporciclos@gmail.com,centransversalo de estudios e investigacin vida cevida
colcaravenidaana@hotmail.com,colcaravana@hotmail.com,colegio caravenidaana de sorpresas
colegiocarreraead@gmail.com,colegiocread@gmail.com,colegio carreraead
colegiocarreraistianoamorypaz@hotmail.com,colegiocristianoamorypaz@hotmail.com,colegio carreraistiano amor y paz
colegiocentransversalaldecomerciosas@gmail.com,colegiocentraldecomerciosas@gmail.com,colegio centransversalal de comercio sas
colegioitransversal@gmail.com,colegioitr@gmail.com,instituto academico la riviera
colegioitransversal@gmail.com,colegioitr@gmail.com,instituto tecnico la riviera
colegiolavenidaictoria@hotmail.com,colegiolavictoria@hotmail.com,centransversalo docente la victoria
colegiosantacarrerauz20@gmail.com,colegiosantacruz20@gmail.com,colegio santa carrerauz
